"date","geo","keyword","hits"
2012-01-01,"US","%2Fm%2F03m50g4",17
2012-02-01,"US","%2Fm%2F03m50g4",19
2012-03-01,"US","%2Fm%2F03m50g4",21
2012-04-01,"US","%2Fm%2F03m50g4",22
2012-05-01,"US","%2Fm%2F03m50g4",20
2012-06-01,"US","%2Fm%2F03m50g4",19
2012-07-01,"US","%2Fm%2F03m50g4",9
2012-08-01,"US","%2Fm%2F03m50g4",9
2012-09-01,"US","%2Fm%2F03m50g4",17
2012-10-01,"US","%2Fm%2F03m50g4",27
2012-11-01,"US","%2Fm%2F03m50g4",20
2012-12-01,"US","%2Fm%2F03m50g4",14
2013-01-01,"US","%2Fm%2F03m50g4",15
2013-02-01,"US","%2Fm%2F03m50g4",19
2013-03-01,"US","%2Fm%2F03m50g4",19
2013-04-01,"US","%2Fm%2F03m50g4",20
2013-05-01,"US","%2Fm%2F03m50g4",18
2013-06-01,"US","%2Fm%2F03m50g4",9
2013-07-01,"US","%2Fm%2F03m50g4",6
2013-08-01,"US","%2Fm%2F03m50g4",9
2013-09-01,"US","%2Fm%2F03m50g4",15
2013-10-01,"US","%2Fm%2F03m50g4",25
2013-11-01,"US","%2Fm%2F03m50g4",25
2013-12-01,"US","%2Fm%2F03m50g4",15
2014-01-01,"US","%2Fm%2F03m50g4",14
2014-02-01,"US","%2Fm%2F03m50g4",16
2014-03-01,"US","%2Fm%2F03m50g4",16
2014-04-01,"US","%2Fm%2F03m50g4",19
2014-05-01,"US","%2Fm%2F03m50g4",17
2014-06-01,"US","%2Fm%2F03m50g4",9
2014-07-01,"US","%2Fm%2F03m50g4",6
2014-08-01,"US","%2Fm%2F03m50g4",8
2014-09-01,"US","%2Fm%2F03m50g4",15
2014-10-01,"US","%2Fm%2F03m50g4",20
2014-11-01,"US","%2Fm%2F03m50g4",16
2014-12-01,"US","%2Fm%2F03m50g4",13
2015-01-01,"US","%2Fm%2F03m50g4",12
2015-02-01,"US","%2Fm%2F03m50g4",14
2015-03-01,"US","%2Fm%2F03m50g4",17
2015-04-01,"US","%2Fm%2F03m50g4",16
2015-05-01,"US","%2Fm%2F03m50g4",16
2015-06-01,"US","%2Fm%2F03m50g4",9
2015-07-01,"US","%2Fm%2F03m50g4",7
2015-08-01,"US","%2Fm%2F03m50g4",8
2015-09-01,"US","%2Fm%2F03m50g4",15
2015-10-01,"US","%2Fm%2F03m50g4",17
2015-11-01,"US","%2Fm%2F03m50g4",16
2015-12-01,"US","%2Fm%2F03m50g4",11
2016-01-01,"US","%2Fm%2F03m50g4",10
2016-02-01,"US","%2Fm%2F03m50g4",13
2016-03-01,"US","%2Fm%2F03m50g4",13
2016-04-01,"US","%2Fm%2F03m50g4",13
2016-05-01,"US","%2Fm%2F03m50g4",13
2016-06-01,"US","%2Fm%2F03m50g4",8
2016-07-01,"US","%2Fm%2F03m50g4",5
2016-08-01,"US","%2Fm%2F03m50g4",7
2016-09-01,"US","%2Fm%2F03m50g4",11
2016-10-01,"US","%2Fm%2F03m50g4",13
2016-11-01,"US","%2Fm%2F03m50g4",13
2016-12-01,"US","%2Fm%2F03m50g4",10
2017-01-01,"US","%2Fm%2F03m50g4",11
2017-02-01,"US","%2Fm%2F03m50g4",13
2017-03-01,"US","%2Fm%2F03m50g4",12
2017-04-01,"US","%2Fm%2F03m50g4",11
2017-05-01,"US","%2Fm%2F03m50g4",14
2017-06-01,"US","%2Fm%2F03m50g4",6
2017-07-01,"US","%2Fm%2F03m50g4",6
2017-08-01,"US","%2Fm%2F03m50g4",8
2017-09-01,"US","%2Fm%2F03m50g4",10
2017-10-01,"US","%2Fm%2F03m50g4",14
2017-11-01,"US","%2Fm%2F03m50g4",13
2017-12-01,"US","%2Fm%2F03m50g4",29
2018-01-01,"US","%2Fm%2F03m50g4",12
2018-02-01,"US","%2Fm%2F03m50g4",14
2018-03-01,"US","%2Fm%2F03m50g4",16
2018-04-01,"US","%2Fm%2F03m50g4",13
2018-05-01,"US","%2Fm%2F03m50g4",12
2018-06-01,"US","%2Fm%2F03m50g4",7
2018-07-01,"US","%2Fm%2F03m50g4",5
2018-08-01,"US","%2Fm%2F03m50g4",8
2018-09-01,"US","%2Fm%2F03m50g4",10
2018-10-01,"US","%2Fm%2F03m50g4",14
2018-11-01,"US","%2Fm%2F03m50g4",11
2018-12-01,"US","%2Fm%2F03m50g4",10
2019-01-01,"US","%2Fm%2F03m50g4",10
2019-02-01,"US","%2Fm%2F03m50g4",12
2019-03-01,"US","%2Fm%2F03m50g4",11
2019-04-01,"US","%2Fm%2F03m50g4",11
2019-05-01,"US","%2Fm%2F03m50g4",11
2019-06-01,"US","%2Fm%2F03m50g4",6
2019-07-01,"US","%2Fm%2F03m50g4",5
2019-08-01,"US","%2Fm%2F03m50g4",6
2019-09-01,"US","%2Fm%2F03m50g4",11
